date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:00	37822/37822	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2015:37:58%20GMT	https://libguides.library.cpp.edu/c.php?g=326566&p=2193195	C:/My%20Web%20Sites/vin14/libguides.library.cpp.edu/c840d.html	(from )
21:08:01	235/235	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Nov%202022%2015:38:00%20GMT	https://libguides.library.cpp.edu/robots.txt		(from )
21:08:02	4513/4513	---M--	200	added ('OK')	image/png	etag:%22dede69717e52c2a82da9cf377135a6e2%22	http://libapps.s3.amazonaws.com/apps/common/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/vin14/libapps.s3.amazonaws.com/apps/common/favicon/apple-touch-icon.png	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:03	1124/1124	---M--	200	added ('OK')	image/png	etag:%2224c2dd6ed207ebf50cd508f75a2bb84d%22	http://libapps.s3.amazonaws.com/apps/common/favicon/favicon-32x32.png	C:/My%20Web%20Sites/vin14/libapps.s3.amazonaws.com/apps/common/favicon/favicon-32x32.png	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:04	658/658	---M--	200	added ('OK')	image/png	etag:%223f5414de2a85ee44f682c5411a31a017%22	http://libapps.s3.amazonaws.com/apps/common/favicon/favicon-16x16.png	C:/My%20Web%20Sites/vin14/libapps.s3.amazonaws.com/apps/common/favicon/favicon-16x16.png	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:04	24761/24761	---MCZ	200	added ('OK')	text/css	etag:W/%2261d87cc3-60b9%22	https://libguides.library.cpp.edu/web/jquery/css/jquery-ui.min.css?2695	C:/My%20Web%20Sites/vin14/libguides.library.cpp.edu/web/jquery/css/jquery-ui.mindbbf.css	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:05	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2261d754da-7918%22	https://libguides.library.cpp.edu/web/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/vin14/libguides.library.cpp.edu/web/font-awesome/4.7.0/css/font-awesome.min.css	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:05	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2261d87cc3-6f0%22	https://libguides.library.cpp.edu/web/slick-1.8.1/slick/slick.css	C:/My%20Web%20Sites/vin14/libguides.library.cpp.edu/web/slick-1.8.1/slick/slick.css	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:05	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2261d754da-c49%22	https://libguides.library.cpp.edu/web/slick-1.8.1/slick/slick-theme.css	C:/My%20Web%20Sites/vin14/libguides.library.cpp.edu/web/slick-1.8.1/slick/slick-theme.css	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
21:08:06	154466/154466	---MCZ	200	added ('OK')	text/css	etag:W/%22629945d2-25b62%22	https://libguides.library.cpp.edu/web/css2.18.6/lg-public.min.css	C:/My%20Web%20Sites/vin14/libguides.library.cpp.edu/web/css2.18.6/lg-public.min.css	(from https://libguides.library.cpp.edu/c.php?g=326566&p=2193195)
